,Standing,Team,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Avg_Home_Attendance,Top Team Scorer,Outcome
0,1,St. Pauli,34,20,9,5,62,36,26,69,2.03,51.2,36.1,15.1,0.44,29424,Marcel Hartel - 17,Promoted
1,2,Holstein Kiel,34,21,5,8,65,39,26,68,2.0,54.0,46.1,7.9,0.23,13870,Steven Skrzybski - 10,Promoted
2,3,Düsseldorf,34,18,9,7,72,40,32,63,1.85,58.3,39.4,18.9,0.55,39672,Christos Tzolis - 22,→ German 1/2 Relegation/Promotion Play-offs
3,4,Hamburger SV,34,17,7,10,64,44,20,58,1.71,65.4,50.7,14.7,0.43,55842,Robert Glatzel - 22,no result
4,5,Karlsruher,34,15,10,9,68,48,20,55,1.62,58.0,50.2,7.8,0.23,27077,Igor Matanovic - 14,no result
5,6,Hannover 96,34,13,13,8,59,44,15,52,1.53,53.9,38.4,15.5,0.46,37641,Cedric Teuchert - 11,no result
6,7,Paderborn 07,34,15,7,12,54,54,0,52,1.53,54.0,50.1,3.9,0.12,13179,Adriano Grimaldi - 9,no result
7,8,Greuther Fürth,34,14,8,12,50,49,1,50,1.47,45.3,50.1,-4.9,-0.14,12462,Armindo Sieb - 12,no result
8,9,Hertha BSC,34,13,9,12,69,59,10,48,1.41,57.2,48.6,8.6,0.25,50969,Haris Tabakovic - 22,no result
9,10,Schalke 04,34,12,7,15,53,60,-7,43,1.26,47.5,52.2,-4.6,-0.14,61500,Kenan Karaman - 13,no result
10,11,Elversberg,34,12,7,15,49,63,-14,43,1.26,47.9,51.4,-3.5,-0.1,8913,Luca Schnellbacher - 8,no result
11,12,Nürnberg,34,11,7,16,43,64,-21,40,1.18,41.9,55.2,-13.3,-0.39,34193,Can Uzun - 16,no result
12,13,Kaiserslautern,34,11,6,17,59,64,-5,39,1.15,51.4,54.3,-2.8,-0.08,43538,Ragnar Ache - 16,no result
13,14,Magdeburg,34,9,11,14,46,54,-8,38,1.12,45.9,51.5,-5.7,-0.17,25004,Jan Luca Schuler - 6,no result
14,15,Braunschweig,34,11,5,18,37,53,-16,38,1.12,43.8,53.9,-10.1,-0.3,20692,Rayan Philippe - 8,no result
15,16,Wehen,34,8,8,18,36,50,-14,32,0.94,43.2,50.5,-7.3,-0.22,9451,Ivan Prtajin - 13,→ German 2/3 Relegation/Promotion Play-offs
16,17,Hansa Rostock,34,9,4,21,30,57,-27,31,0.91,38.5,57.6,-19.1,-0.56,26215,"Kai Pröger, Júnior Brumado... - 4",Relegated
17,18,Osnabrück,34,6,10,18,31,69,-38,28,0.82,38.1,59.2,-21.1,-0.62,14340,Erik Engelhardt - 10,Relegated
